"Bone","group","region","subregion","Articulation","Joint","muscle insertions",,
"scaphiod","carpal bones","upper limb","hand",,"radiocarpal","Abductor policis brevis",,
"lunate","carpal bones","upper limb","hand",,"radiocarpal",,,
"triquetrum","carpal bones","upper limb","hand",,"radiocarpal",,,
"pisiform","carpal bones","upper limb","hand",,,"Abductor digiti minimi","Flexor carpi ulnaris ",
"trapezium","carpal bones","upper limb","hand",,,"Abductor policis brevis","Flexor policis brevis","Opponens pollicis"
"hamate","carpal bones","upper limb","hand",,,"Flexor digiti minimi","Opponens digiti minimi","Flexor carpi ulnaris "
"Metacarpal 1",,"upper limb","hand",,,,,
"Metacarpal 2",,"upper limb","hand",,,,,
"Metacarpal 3",,"upper limb","hand",,,,,
"Metacarpal 4",,"upper limb","hand",,,,,
"Metacarpal 5",,"upper limb","hand",,,,,
"proximal phalanx 1","fingers","upper limb","hand",,,,,
"proximal phalanx 2","fingers","upper limb","hand",,,,,
"proximal phalanx 3","fingers","upper limb","hand",,,,,
"proximal phalanx 4","fingers","upper limb","hand",,,,,
"proximal phalanx 5","fingers","upper limb","hand",,,,,
"intermediate phalanx 2","fingers","upper limb","hand",,,,,
"intermediate phalanx 3","fingers","upper limb","hand",,,,,
"intermediate phalanx 4","fingers","upper limb","hand",,,,,
"intermediate phalanx 5","fingers","upper limb","hand",,,,,
"distal phalanx 1","fingers","upper limb","hand",,,,,
"distal phalanx 2","fingers","upper limb","hand",,,,,
"distal phalanx 3","fingers","upper limb","hand",,,,,
"distal phalanx 4","fingers","upper limb","hand",,,,,
"distal phalanx 5","fingers","upper limb","hand",,,,,
"sternum",,"torso","chest",,,,,
"xiphoid",,"torso","chest",,,,,
"hyoid",,"throat",,,,,,
"clavicle",,"torso","chest",,,,,
"scapula",,"torso","back",,,,,
"humerus",,"upper limb","arm",,,,,
"radius",,"upper limb","forearm",,,,,
"ulna",,"upper limb","forearm",,,,,
"ishium",,"pelvis",,,,,,
"ilium",,"pelvis",,,,,,
"pubis",,"pelvis",,,,,,
"skull",,"head",,,,,,
"mandilble",,"head",,,,,,
"femur",,"lower limb","thigh",,,,,
"patella",,"lower limb","knee",,"knee",,,
"tibia",,"lower limb","leg",,,,,
"fibula",,"lower limb","leg",,,,,
"middle cuneform","tarsal","lower limb","foot",,,,,
"lateral cuneform","tarsal","lower limb","foot",,,,,
"medial cuneform","tarsal","lower limb","foot",,,,,
"navicular","tarsal","lower limb","foot",,,,,
"talus","tarsal","lower limb","foot",,,,,
"cuboid","tarsal","lower limb","foot",,,,,
"calcaneal","tarsal","lower limb","foot",,,,,
"Metatarsal 1","metatarsals","lower limb","foot",,,,,
"Metatarsal 2","metatarsals","lower limb","foot",,,,,
"Metatarsal 3","metatarsals","lower limb","foot",,,,,
"Metatarsal 4","metatarsals","lower limb","foot",,,,,
"Metatarsal 5","metatarsals","lower limb","foot",,,,,
"proximal phalanx 1","toes","lower limb","foot",,,,,
"proximal phalanx 2","toes","lower limb","foot",,,,,
"proximal phalanx 3","toes","lower limb","foot",,,,,
"proximal phalanx 4","toes","lower limb","foot",,,,,
"proximal phalanx 5","toes","lower limb","foot",,,,,
"intermediate phalanx 2","toes","lower limb","foot",,,,,
"intermediate phalanx 3","toes","lower limb","foot",,,,,
"intermediate phalanx 4","toes","lower limb","foot",,,,,
"intermediate phalanx 5","toes","lower limb","foot",,,,,
"distal phalanx 1","toes","lower limb","foot",,,,,
"distal phalanx 2","toes","lower limb","foot",,,,,
"distal phalanx 3","toes","lower limb","foot",,,,,
"distal phalanx 4","toes","lower limb","foot",,,,,
"distal phalanx 5","toes","lower limb","foot",,,,,
"c1",,"spine","cervical vertebra",,,,,
"c2",,"spine","cervical vertebra",,,,,
"c3",,"spine","cervical vertebra",,,,,
"c4",,"spine","cervical vertebra",,,,,
"c5",,"spine","cervical vertebra",,,,,
"c6",,"spine","cervical vertebra",,,,,
"c7",,"spine","cervical vertebra",,,,,
"t1",,"spine","thoracic vertebra",,,,,
"t2",,"spine","thoracic vertebra",,,,,
"t3",,"spine","thoracic vertebra",,,,,
"t4",,"spine","thoracic vertebra",,,,,
"t5",,"spine","thoracic vertebra",,,,,
"t6",,"spine","thoracic vertebra",,,,,
"t7",,"spine","thoracic vertebra",,,,,
"t8",,"spine","thoracic vertebra",,,,,
"t9",,"spine","thoracic vertebra",,,,,
"t10",,"spine","thoracic vertebra",,,,,
"t11",,"spine","thoracic vertebra",,,,,
"t12",,"spine","thoracic vertebra",,,,,
"l1",,"spine","lumber vertebra",,,,,
"l2",,"spine","lumber vertebra",,,,,
"l3",,"spine","lumber vertebra",,,,,
"l4",,"spine","lumber vertebra",,,,,
"l5",,"spine","lumber vertebra",,,,,
"s1",,"spine","sacral",,,,,
"s2",,"spine","sacral",,,,,
"s3",,"spine","sacral",,,,,
"s4",,"spine","sacral",,,,,
"coccyx",,"spine",,,,,,
"rib1",,"torso",,,,,,
"rib2",,"torso",,,,,,
"rib3",,"torso",,,,,,
"rib4",,"torso",,,,,,
"rib5",,"torso",,,,,,
"rib6",,"torso",,,,,,
"rib7",,"torso",,,,,,
"rib8",,"torso",,,,,,
"rib9",,"torso",,,,,,
"rib10",,"torso",,,,,,
"rib11",,"torso",,,,,,
"rib12",,"torso",,,,,,
"stapes",,"ear",,,,,,
"incus",,"ear",,,,,,
,,"ear",,,,,,
"mandilble",,,,,,,,
