"Feature","Feature Type","feature subtype","Feature Description","Origin","Insertion","region","subregion","featurelocation","Bone/joint","Nerve","Joint","lateral margin","medial margin","floor","roof","apex","base","anterior margin"," posterior margin"
"flexor retinaculum","retinaculum",,,,,,,,,,,,,,,,,,
"triangular space","anatomical area","space","circumflex scapular artery and vein pass through this space",,,"upper limb","arm",,,,,"medial margin of the long head of triceps brachii",,,,"inferior margin of teres minor","superior margin teres major",,
"triangular interval","anatomical area","interval","radial nerve, profunda brachii artery and associated veins pass through this space",,,"upper limb","arm",,,,,"shaft of the humerus","lateral margin of the long head triceps brachii",,,"inferior margin of teres major",,,
"anatomical snuff box","anatomical area",,"radial artery passes obliquely as well as the origin of the cephalic vein from the dorsal venous arch of the hand",,,"upper limb","hand","posterolateral side of wrist and metacarpal 1",,,,"tendons of abductor pollicis longus and extensor pollicis brevis","tendon of extensor pollicis longus","scaphoid and trapezium",,,"wrist",,
"suprascapular foramen","anatomical area","foramen","suprascapular nerve passes through the foramen.  Usually the suprascapular artery and vein pass on the other side of the transverse ligament and not through the foramen",,,"torso","pectoral girdle","scapula","scapula",,,,,,,"superior transverse scapular ligament","suprascapular notch",,
"quadrangular space","anatomical area","space","axillary nerve and posterior circumflex humeral artery and vein pass through this space",,,"upper limb","arm",,"humerus",,,"shaft of the humerus","lateral margin of the long head triceps brachii",,,"inferior margin of teres minor","superior margin teres major",,
"axilla","Articular surface",,"irregular pyramid which allows the axillary inlet passage into the upper limb",,,"upper limb","arm",,,,,"intertubercular sulcus","upper thoracic wall and serratus anterior","skin",,"lateral margin rib 1, clavicle and superior margin of scapula to coracoid process",,"pectoralis major and minor, subclavius muscles and clavipectoral fascia","subscapularis, teres major and latissimus dorsi muscles and long head of triceps brachii"
"axillary inlet","anatomical area","inlet","subclavian artery becomes the axillary artery as it passes into the inlet",,,,,,,,,,"lateral border rib 1",,,,,"posterior surface of the clavicle","superior border fo the scapula up to the coracoid process"
"cubital fossa","anatomical area","fossa","contents are the tendon of biceps brachii, brachial artery and median nerve",,,,,,,,"elbow","brachioradialis","pronator teres",,"fascia and skin with median cubital vein",,"line between medial and lateral epicondyles",,
"suprascapular notch","Boney feature","notch","lies immediately medial to the root of the corcoid process",,,"torso","back",,"scapula",,,,,,,,,,
"politeal fossa","anatomical area","fossa","tibial and common fibular nerves popliteal artery popliteal vein",,,,,,,,,"sup. biceps femoris inf. Plantaris and lateral head of gastrocnemius
","sup. Semitendinosus & semimebranosus inf. medial head of gastrocnemius","capsule of the knee j., femur, tibia, popliteus m.",,,,,
"femoral triangle","anatomical area",,"contains femoral artery and femoral vein",,,,,,,"femoral nerve",,"sartorius","adductor longus","iliopsoas, pectineus, adductor longus",,"continual with adductor canal that descends medially and through the adductor hiatus.","inguinal ligament",,
"carpal tunnel","anatomical area",,,,,,,,,,,,,,,,,,
"tarsal tunnel","anatomical area",,,,,,,,,,,,,,,,,,
"Radial collateral ","Ligament",,"from scaphoid to lunate + triquetrum",,,,,,,,,,,,,,,,
"intertuberclar sulcus","Boney feature","sulcus",,,,"upper limb","arm",,,,,,,,,,,,
"supraspinous fossa","Boney feature","fossa","supraspinous fossa","supraspinatus",,"torso","back","posterior surface of scapula","scapula",,,,,,,,,,
"infraspinous fossa","Boney feature","fossa","infraspinous fossa","infraspinatus",,"torso","back","posterior surface of scapula","scapula",,,,,,,,,,
"subscapular fossa","Boney feature","fossa","subscapular fossa","subscapularis",,"torso","back","anterior surface of scapula","scapula",,,,,,,,,,
"acromion","Boney feature","process","acromion",,,"torso","back","posterior surface of scapula","scapula",,,,,,,,,,
"head of the humerus","Boney feature","articulation",,,,"upper limb","arm","proximal humerus","humerus",,,,,,,,,,
"superior glenohumeral","Ligament",,,,,"upper limb","arm","glenohumeral joint","humerus",,,,,,,,,,
"middle glenohumeral ","Ligament",,,,,"upper limb","arm","glenohumeral joint","humerus",,,,,,,,,,
"inferior glenohumeral ","Ligament",,,,,"upper limb","arm","glenohumeral joint","humerus",,,,,,,,,,
"anatomical neck","Boney feature","neck",,,,"upper limb","arm","proximal humerus","humerus",,,,,,,,,,
"surgical neck","Boney feature","neck",,,,"upper limb","arm","proximal humerus","humerus",,,,,,,,,,
"Superior facet greater tubercle","Boney feature","facet",,,"supraspinatus","upper limb","arm","greater tubercle","humerus",,,,,,,,,,
"middle facet greater tubercle","Boney feature","facet",,,"infraspinatus","upper limb","arm","greater tubercle","humerus",,,,,,,,,,
"inferior facet greater tubercle","Boney feature","facet",,,,"upper limb","arm","greater tubercle","humerus",,,,,,,,,,
"greater tubercle","Boney feature","tubercle",,,,"upper limb","arm","proximal humerus","humerus",,,,,,,,,,
"lesser tubercle","Boney feature","tubercle",,,,"upper limb","arm","proximal humerus","humerus",,,,,,,,,,
"costoclavicular","Ligament",,"medial clavicle","rib","clavicle","torso","chest","costoclavicular joint",,,,,,,,,,,
"impression for costoclavicular ligament","Boney feature",,"impression for costoclavicular ligament",,"clavicle","torso","chest","costoclavicular joint","clavicle",,,,,,,,,,
"Acromioclavicular","Ligament",,,"acromion","Lateral aspect of clavicle (oval shaped facet)","torso","chest","acromioclavicular joint","clavicle",,,,,,,,,,
"hook of hamate","Boney feature",,,,,,,,"hamate",,,,,,,,,,
"Anterior sternoclavicular","Ligament",,"Sternal end of clavicle",,,,,"sternoclavicular joint","clavicle",,"sternoclavicular",,,,,,,,
"Posterior sternoclavicular","Ligament",,"Manubrium of sternum and part of 1st costal cartilage",,,,,"sternoclavicular joint","clavicle",,"sternoclavicular",,,,,,,,
"conoid tubercle","Boney feature","tubercle","attachment site of conoid ligament on clavicle",,,"torso","chest","near acromion","clavicle",,"Acromioclavicular",,,,,,,,
"conoid","Ligament",,,,,"torso","chest",,,,,,,,,,,,
"subclavian groove","Boney feature","groove",,"subclavious",,,,"medial third of shaft of clavicle","clavicle",,,,,,,,,,
"coracohumeral","Ligament",,,"corocoid process","greater tubercle",,,"glenohumeral joint",,,,,,,,,,,
"coracoid process","Boney feature","process","hook like structure that projects anterolaterally and is positioned directly inferior to the lateral part of the clavicle","pectoralis minor",,"torso","chest","glenohumeral joint","clavicle",,,,,,,,,,
"coracoid process","Boney feature","process",,"Biceps brachii short head ",,"torso","chest","glenohumeral joint","clavicle",,,,,,,,,,
"coracoid process","Boney feature","process",,"Coracobrachialis",,"torso","chest","glenohumeral joint","clavicle",,,,,,,,,,
"glenoid cavity","Boney feature","cavity","Cavitiy for head of humerus extended by the glenoid labrum",,,,,"glenohumeral joint","scapula",,,,,,,,,,
"infraglenoid tubercle","Boney feature","tubercle","A large triangular-shaped roughening inferior to the glenoid cavity","Triceps brachii Long head",,,,"glenohumeral joint","scapula",,,,,,,,,,
"anatomical neck","Boney feature","neck","neck of humerus",,,"upper limb","arm","proximal humerus","humerus",,,,,,,,,,
"surgical neck","Boney feature","neck","neck of humerus",,,"upper limb","arm","proximal humerus","humerus",,,,,,,,,,
"deltoid tubercle","Boney feature","tubercle","medial point of attachment of deltoid",,"deltoid","upper limb","arm","proximal humerus","humerus",,,,,,,,,,
"supraglenoid tubercle","Boney feature","tubercle","Superior articular facet for humeral head to join scapula","Biceps brachii long head ",,,,"superior lateral scapula","scapula",,,,,,,,,,
