"Joint","joint classfctn","joint type","Flexion","extension","abduction","adduction","medial rotation","Lateral rotation","circumduction","pronation","supination","protraction","retraction","opposition","rotation","vertical plane","A-p","elevate","depress","anterior tilt","gliding"
"Acromioclavicular","Synovial ","plane",,,,,,,,,,,1,1,1,,,,,,
"carpal","Synovial",,,,,,,,,,,,,,,,,,,,
"Carpometacarpal 5","Synovial ","saddle",1,1,1,1,1,1,,,,1,,,,,,,,,
"Carpometacarpal 1-4","Synovial","gliding",,,,,,,,,,,,,,,,,,,
"Distal Interphalangeal","Synovial","hinge",1,1,,,,,,,,,,,,,,,,,
"Distal Radioulnar","Synovial","pivot",,,,,,,,1,1,,,,,,,,,,
"Elbow","Synovial","hinge",1,1,,,,,,,,,,,,,,,,,
"femoropatellar","Synovial","plane",,,,,,,,,,,,,,,,,,,1
"femorotibial","Synovial","hinge",1,1,,,,,,,,,,,,,,,,,
"Glenohumeral","Synovial","Ball and socket",1,1,1,1,1,1,1,,,,,,,,,,,,
"hip","Synovial","Ball and socket",1,1,1,1,1,1,,,,,,,,,,,,,
"Interphalangeal Joint of Thumb","Synovial","hinge",1,1,,,,,,,,,,,,,,,,,
"Metacarpophalangeal 1","Synovial","condyloid",1,1,,,,,,,,,,,,,,,,,
"Metacarpophalangeal 2-4",,,,,,,,,,,,,,,,,,,,,
"Metacarpophalangeal 2-5","Synovial","condyloid",1,1,1,1,,,,,,,,,,,,,,,
"Midcarpal","Synovial",,1,1,1,1,,,,,,,,,,,,,,,
"Proximal Interphalangeal ","Synovial","hinge",1,1,,,,,,,,,,,,,,,,,
"Proximal Radioulnar Joint","Synovial","pivot",,,,,,,,1,1,,,,,,,,,,
"pubic symphysis","symphysis","cartilaginous",,,,,,,,,,,,,,,,,,,
"Radiocarpal","Synovial","condyloid",1,1,1,1,,,1,,,,,,,,,,,,
"Radioulnar",,,,,,,,,,,,,,,,,,,,,
"sacroiliac","Synovial","plane",,,,,,,,,,,,,,,,,,,
"scapulthoracic","anatomical",,,,,,,,,,,,,,,,,,,,
"Sternoclavicular","Synovial","saddle",,,,,,,,,,,1,1,1,,,,,,
"superior tibio-patellar","Synovial","plane",,,,,,,,,,,,,,,,,,,
